year,race_name,team,driver,dnf,dnf_reason
2024,Miami Grand Prix,ferrari,LEC,False,Finished
2024,Miami Grand Prix,ferrari,SAI,False,Finished
2024,Miami Grand Prix,haas,HUL,False,Finished
2024,Miami Grand Prix,haas,MAG,False,Finished
2024,Miami Grand Prix,mclaren,NOR,False,Finished
2024,Miami Grand Prix,mclaren,PIA,False,Finished
2024,Miami Grand Prix,mercedes,HAM,False,Finished
2024,Miami Grand Prix,mercedes,RUS,False,Finished
2024,Miami Grand Prix,rb,RIC,False,Finished
2024,Miami Grand Prix,rb,TSU,False,Finished
2024,Miami Grand Prix,red_bull,PER,False,Finished
2024,Miami Grand Prix,red_bull,VER,False,Finished
2024,Miami Grand Prix,sauber,BOT,False,Finished
2024,Miami Grand Prix,sauber,ZHO,False,Finished
2024,Miami Grand Prix,williams,ALB,False,Finished
2024,Miami Grand Prix,williams,SAR,True,Retired
2024,Monaco Grand Prix,alpine,GAS,True,Lapped
2024,Monaco Grand Prix,alpine,OCO,True,Retired
2024,Monaco Grand Prix,aston_martin,ALO,True,Lapped
2024,Monaco Grand Prix,aston_martin,STR,True,Lapped
2024,Monaco Grand Prix,ferrari,LEC,False,Finished
2024,Monaco Grand Prix,ferrari,SAI,False,Finished
2024,Monaco Grand Prix,haas,HUL,True,Retired
2024,Monaco Grand Prix,haas,MAG,True,Retired
2024,Monaco Grand Prix,mclaren,NOR,False,Finished
2024,Monaco Grand Prix,mclaren,PIA,False,Finished
2024,Monaco Grand Prix,mercedes,HAM,False,Finished
2024,Monaco Grand Prix,mercedes,RUS,False,Finished
2024,Monaco Grand Prix,rb,RIC,True,Lapped
2024,Monaco Grand Prix,rb,TSU,True,Lapped
2024,Monaco Grand Prix,red_bull,PER,True,Retired
2024,Monaco Grand Prix,red_bull,VER,False,Finished
2024,Monaco Grand Prix,sauber,BOT,True,Lapped
2024,Monaco Grand Prix,sauber,ZHO,True,Lapped
2024,Monaco Grand Prix,williams,ALB,True,Lapped
2024,Monaco Grand Prix,williams,SAR,True,Lapped
2024,Qatar Grand Prix,alpine,GAS,False,Finished
2024,Qatar Grand Prix,alpine,OCO,True,Retired
2024,Qatar Grand Prix,aston_martin,ALO,False,Finished
2024,Qatar Grand Prix,aston_martin,STR,True,Retired
2024,Qatar Grand Prix,ferrari,LEC,False,Finished
2024,Qatar Grand Prix,ferrari,SAI,False,Finished
2024,Qatar Grand Prix,haas,HUL,True,Retired
2024,Qatar Grand Prix,haas,MAG,False,Finished
2024,Qatar Grand Prix,mclaren,NOR,False,Finished
2024,Qatar Grand Prix,mclaren,PIA,False,Finished
2024,Qatar Grand Prix,mercedes,HAM,False,Finished
2024,Qatar Grand Prix,mercedes,RUS,False,Finished
2024,Qatar Grand Prix,rb,LAW,False,Finished
2024,Qatar Grand Prix,rb,TSU,False,Finished
2024,Qatar Grand Prix,red_bull,PER,True,Retired
2024,Qatar Grand Prix,red_bull,VER,False,Finished
2024,Qatar Grand Prix,sauber,BOT,False,Finished
2024,Qatar Grand Prix,sauber,ZHO,False,Finished
2024,Qatar Grand Prix,williams,ALB,True,Lapped
2024,Qatar Grand Prix,williams,COL,True,Retired
2024,Saudi Arabian Grand Prix,alpine,GAS,True,Retired
2024,Saudi Arabian Grand Prix,alpine,OCO,True,Lapped
2024,Saudi Arabian Grand Prix,aston_martin,ALO,False,Finished
2024,Saudi Arabian Grand Prix,aston_martin,STR,True,Retired
2024,Saudi Arabian Grand Prix,ferrari,BEA,False,Finished
2024,Saudi Arabian Grand Prix,ferrari,LEC,False,Finished
2024,Saudi Arabian Grand Prix,haas,HUL,False,Finished
2024,Saudi Arabian Grand Prix,haas,MAG,False,Finished
2024,Saudi Arabian Grand Prix,mclaren,NOR,False,Finished
2024,Saudi Arabian Grand Prix,mclaren,PIA,False,Finished
2024,Saudi Arabian Grand Prix,mercedes,HAM,False,Finished
2024,Saudi Arabian Grand Prix,mercedes,RUS,False,Finished
2024,Saudi Arabian Grand Prix,rb,RIC,True,Lapped
2024,Saudi Arabian Grand Prix,rb,TSU,True,Lapped
2024,Saudi Arabian Grand Prix,red_bull,PER,False,Finished
2024,Saudi Arabian Grand Prix,red_bull,VER,False,Finished
2024,Saudi Arabian Grand Prix,sauber,BOT,True,Lapped
2024,Saudi Arabian Grand Prix,sauber,ZHO,True,Lapped
2024,Saudi Arabian Grand Prix,williams,ALB,False,Finished
2024,Saudi Arabian Grand Prix,williams,SAR,True,Lapped
2024,Singapore Grand Prix,alpine,GAS,True,Lapped
2024,Singapore Grand Prix,alpine,OCO,True,Lapped
2024,Singapore Grand Prix,aston_martin,ALO,True,Lapped
2024,Singapore Grand Prix,aston_martin,STR,True,Lapped
2024,Singapore Grand Prix,ferrari,LEC,False,Finished
2024,Singapore Grand Prix,ferrari,SAI,False,Finished
2024,Singapore Grand Prix,haas,HUL,True,Lapped
2024,Singapore Grand Prix,haas,MAG,True,Retired
2024,Singapore Grand Prix,mclaren,NOR,False,Finished
2024,Singapore Grand Prix,mclaren,PIA,False,Finished
2024,Singapore Grand Prix,mercedes,HAM,False,Finished
2024,Singapore Grand Prix,mercedes,RUS,False,Finished
2024,Singapore Grand Prix,rb,RIC,True,Lapped
2024,Singapore Grand Prix,rb,TSU,True,Lapped
2024,Singapore Grand Prix,red_bull,PER,True,Lapped
2024,Singapore Grand Prix,red_bull,VER,False,Finished
2024,Singapore Grand Prix,sauber,BOT,True,Lapped
2024,Singapore Grand Prix,sauber,ZHO,True,Lapped
2024,Singapore Grand Prix,williams,ALB,True,Retired
2024,Singapore Grand Prix,williams,COL,True,Lapped
2024,Spanish Grand Prix,alpine,GAS,False,Finished
2024,Spanish Grand Prix,alpine,OCO,False,Finished
2024,Spanish Grand Prix,aston_martin,ALO,True,Lapped
2024,Spanish Grand Prix,aston_martin,STR,True,Lapped
2024,Spanish Grand Prix,ferrari,LEC,False,Finished
