season,driver,race_name,round,circuit_type,team,fp1_pos,fp2_pos,fp3_pos,sprint_qualifying_pos,sprint_race_pos,qualifying_pos,race_pos,race_dnf_status,race_classified_position,weighted_performance_score
2024,GAS,Hungaroring,13,Permanent,Alpine,17.0,16.0,18.0,,,,,Retired,R,12.100000000000001
2024,HAM,Hungaroring,13,Permanent,Mercedes,10.0,7.0,10.0,,,,,,,6.4
2024,HUL,Hungaroring,13,Permanent,Haas,,15.0,8.0,,,,,Lapped,13,6.2
2024,LEC,Hungaroring,13,Permanent,Ferrari,3.0,18.0,11.0,,,,,,,8.3
2024,MAG,Hungaroring,13,Permanent,Haas,19.0,6.0,19.0,,,,,Lapped,15,10.700000000000001
2024,NOR,Hungaroring,13,Permanent,McLaren,6.0,1.0,1.0,,,,,,,1.2000000000000002
2024,OCO,Hungaroring,13,Permanent,Alpine,18.0,14.0,20.0,,,,,Lapped,18,12.600000000000001
2024,PER,Hungaroring,13,Permanent,Red Bull,11.0,4.0,13.0,,,,,,,7.1000000000000005
2024,PIA,Hungaroring,13,Permanent,McLaren,7.0,13.0,2.0,,,,,,,4.1000000000000005
2024,RIC,Hungaroring,13,Permanent,RB,12.0,8.0,6.0,,,,,Lapped,12,5.200000000000001
2024,RUS,Hungaroring,13,Permanent,Mercedes,4.0,5.0,4.0,,,,,,,3.0
2024,SAI,Hungaroring,13,Permanent,Ferrari,1.0,3.0,5.0,,,,,,,2.7
2024,SAR,Hungaroring,13,Permanent,Williams,16.0,12.0,16.0,,,,,Lapped,17,10.4
2024,STR,Hungaroring,13,Permanent,Aston Martin,9.0,17.0,15.0,,,,,,,10.3
2024,TSU,Hungaroring,13,Permanent,RB,8.0,19.0,9.0,,,,,,,8.200000000000001
2024,VER,Hungaroring,13,Permanent,Red Bull,2.0,2.0,3.0,,,,,,,1.8000000000000003
2024,ZHO,Hungaroring,13,Permanent,Sauber,5.0,20.0,17.0,,,,,Lapped,19,11.3
2024,ALB,Spa-Francorchamps,14,Permanent,Williams,3.0,17.0,11.0,,,,,,,8.100000000000001
2024,ALO,Spa-Francorchamps,14,Permanent,Aston Martin,12.0,12.0,13.0,,,,,,,8.8
2024,BOT,Spa-Francorchamps,14,Permanent,Sauber,14.0,13.0,8.0,,,,,,,7.2
2024,GAS,Spa-Francorchamps,14,Permanent,Alpine,11.0,15.0,3.0,,,,,,,5.3
2024,HAM,Spa-Francorchamps,14,Permanent,Mercedes,5.0,10.0,9.0,,,,,,,6.1
2024,HUL,Spa-Francorchamps,14,Permanent,Haas,17.0,16.0,12.0,,,,,,,9.700000000000001
2024,LEC,Spa-Francorchamps,14,Permanent,Ferrari,6.0,4.0,6.0,,,,,,,3.8000000000000007
