season,race_name,round,circuit_type,team,avg_race_pace,clean_air_avg_race_pace,top_speed,cornering_speed,top_speed_rank,corner_speed_rank,drag_index,avg_stint_length,stints_soft,stints_medium,stints_hard,deg_soft_slope,deg_medium_slope,deg_hard_slope,dropoff_soft,dropoff_medium,dropoff_hard,avg_throttle_pct,avg_speed,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_pace_advantage
2024,Lusail,23,Permanent,Aston Martin,98.36169841269843,112.49438248847926,332.0,14.0,4.0,10.0,-6.0,10.5,0,3,3,,-1.1674912629166507,-4.070257142857153,,-29.396333333333335,-16.923,60.32803092616359,198.7977757920465,0.8253968253968254,10.111700347222223,14.13268407578083
2024,Lusail,23,Permanent,Ferrari,95.69035714285714,88.30370195195195,331.0,32.75,6.0,3.0,3.0,14.0,0,2,6,,-0.8030321094346813,-5.143698997493739,,-39.58549999999999,-25.445166666666665,67.92130376111494,204.6626873137628,0.6875,4.413626949496904,-7.386655190905188
2024,Lusail,23,Permanent,Haas,96.13635106382979,101.90317530864196,334.0,25.375,2.0,5.0,-3.0,11.75,0,4,4,,-3.2794708547008655,-0.17512947566357706,,-15.247249999999998,-20.395250000000004,64.2931021000423,202.582010547427,0.5957446808510638,4.4404683333333335,5.76682424481217
2024,Lusail,23,Permanent,McLaren,95.90249107142857,89.11230555555555,328.0,23.849495014141414,8.0,7.0,1.0,12.444444444444445,0,2,7,,-0.8579756970970194,-1.8227467215741682,,-50.599500000000006,-22.20357142857143,64.53692087308072,205.3968647622115,0.7946428571428571,3.488756550802139,-6.79018551587302
2024,Lusail,23,Permanent,Mercedes,96.035375,99.49708662840136,337.0,32.8,1.0,2.0,-1.0,11.2,0,2,8,,-1.2190604894625827,-0.7914477239865381,,-29.5165,-13.712,65.35616601676426,204.01408360273953,0.7410714285714286,11.598963763955343,3.4617116284013605
2024,Lusail,23,Permanent,RB,96.3689375,97.23877606099258,333.0,24.05857133714286,3.0,6.0,-3.0,11.2,2,2,6,-1.6840379901960758,-0.6377683728036674,-3.432583333333332,-48.62400000000001,-21.7905,-6.865166666666667,67.38643647665577,202.81292446943706,0.7142857142857143,7.915592830882353,0.8698385609925765
2024,Lusail,23,Permanent,Red Bull,95.95647311827956,88.40061614906833,328.0,36.75,8.0,1.0,7.0,11.625,0,2,6,,-0.7958359052711981,-0.5043997493734343,,-43.011,-11.218833333333334,65.23455581040315,204.921471165563,0.7419354838709677,2.3768713235294117,-7.555856969211234
2024,Lusail,23,Permanent,Sauber,95.89395535714286,87.2658086868687,329.0,23.77124992,7.0,8.0,-1.0,14.0,0,4,4,,-0.9274245765104455,-0.17068075871496957,,-29.2145,-5.976749999999997,64.55116192753214,203.18232567382694,0.6785714285714286,4.161850381486586,-8.628146670274162
2024,Lusail,23,Permanent,Williams,97.14378181818181,110.44982264150943,326.0,23.4,10.0,9.0,1.0,11.0,4,1,0,-0.7241259029927748,-0.6135194805194789,,-13.519499999999997,-24.37899999999999,,61.7256884806912,200.44252027457892,0.8727272727272727,9.38478954248366,13.30604082332762
2025,Catalunya,1,Permanent,Alpine,84.79816153846153,87.30634464482887,320.0,44.0,7.0,2.0,5.0,16.25,6,2,0,-1.0652247224997218,0.0736204180602012,,-11.723999999999997,-0.6469999999999985,,57.05684934692567,183.27786161500921,0.49230769230769234,5.79493508188068,2.5081831063673405
